hour,DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
22,-24,-13,1035,195.32,0,0,29
0,-26,-17,1035,201.58,0,0,30
2,-26,-19,1035,208.73,0,0,27
3,-27,-18,1035,213.65,0,0,25
7,-27,-16,1034,13.86,0,0,27
8,-26,-16,1035,18.78,0,0,27
9,-26,-15,1035,24.59,0,0,29
10,-25,-14,1035,29.51,0,0,36
11,-25,-13,1035,34.43,0,0,30
12,-25,-12,1034,39.35,0,0,27
13,-24,-11,1032,41.14,0,0,39
14,-22,-11,1032,0.89,0,0,41
15,-23,-11,1031,1.79,0,0,33
16,-24,-11,1031,3.58,0,0,50
17,-23,-11,1031,5.37,0,0,56
18,-23,-11,1032,7.16,0,0,59
20,-22,-12,1033,13.42,0,0,84
22,-22,-13,1034,20.57,0,0,66
0,-25,-17,1033,26.83,0,0,56
1,-25,-14,1033,4.02,0,0,77
2,-26,-14,1034,8.04,0,0,50
4,-26,-14,1033,17.87,0,0,27
5,-26,-14,1033,23.68,0,0,28
8,-26,-14,1034,39.33,0,0,20
9,-25,-13,1035,44.25,0,0,29
10,-25,-12,1035,50.06,0,0,34
12,-24,-10,1034,59,0,0,28
13,-22,-10,1033,4.02,0,0,36
14,-22,-9,1033,5.81,0,0,48
15,-22,-8,1033,0.89,0,0,49
17,-21,-9,1033,3.58,0,0,56
18,-22,-9,1033,5.37,0,0,96
19,-22,-14,1034,0.89,0,0,75
20,-22,-12,1035,1.79,0,0,105
22,-22,-16,1035,5.37,0,0,93
0,-21,-16,1035,8.95,0,0,127
1,-21,-16,1035,0.45,0,0,130
2,-22,-18,1036,1.34,0,0,43
3,-23,-15,1036,4.02,0,0,37
4,-24,-16,1035,7.15,0,0,30
5,-25,-15,1035,10.28,0,0,28
6,-24,-15,1035,14.3,0,0,24
7,-25,-13,1036,4.92,0,0,23
8,-24,-14,1036,4.02,0,0,24
9,-23,-12,1036,8.94,0,0,27
10,-22,-11,1036,12.96,0,0,40
11,-20,-10,1036,16.09,0,0,42
12,-21,-9,1035,19.22,0,0,42
14,-20,-7,1033,22.8,0,0,52
15,-20,-7,1032,24.59,0,0,51
16,-18,-8,1032,26.38,0,0,57
17,-19,-9,1032,28.17,0,0,50
18,-19,-11,1032,0.89,0,0,54
22,-21,-14,1032,1.34,0,0,198
23,-21,-16,1032,2.23,0,0,190
1,-19,-16,1031,3.58,0,0,195
2,-20,-16,1031,0.89,0,0,275
3,-19,-15,1030,0.89,0,0,164
4,-18,-15,1030,0.45,0,0,110
7,-16,-13,1029,0.89,0,0,71
8,-16,-12,1029,0.89,0,0,66
9,-16,-12,1030,1.78,0,0,92
11,-16,-10,1029,0.89,0,0,155
12,-16,-9,1028,3.13,0,0,198
13,-15,-8,1026,4.92,0,0,250
14,-16,-8,1026,0.89,0,0,200
16,-16,-8,1025,2.67,0,0,250
17,-17,-8,1025,0.89,0,0,212
18,-17,-9,1026,0.45,0,0,219
20,-17,-12,1026,1.79,0,0,226
21,-18,-14,1027,1.79,0,0,225
22,-16,-9,1027,4.92,0,0,168
0,-17,-13,1027,0.89,0,0,165
1,-17,-13,1027,3.13,0,0,159
2,-17,-14,1027,4.92,0,0,167
4,-17,-13,1027,9.84,0,0,169
5,-19,-16,1027,13.86,0,0,155
6,-18,-15,1027,17.88,0,0,119
7,-19,-15,1027,21.9,0,0,106
8,-18,-14,1028,25.92,0,0,93
9,-18,-9,1029,5.81,0,0,84
10,-17,-7,1029,11.62,0,0,73
14,-15,-4,1029,33.08,0,0,50
15,-14,-4,1028,37.1,0,0,49
16,-15,-4,1029,38.89,0,0,41
17,-15,-4,1030,1.79,0,0,37
18,-15,-7,1030,3.13,0,0,45
19,-15,-6,1031,3.13,0,0,44
20,-15,-7,1032,4.92,0,0,54
21,-15,-6,1032,3.13,0,0,50
22,-15,-8,1033,0.45,0,0,47
23,-15,-8,1033,0.9,0,0,66
0,-15,-11,1033,0.89,0,0,75
2,-17,-12,1033,4.91,0,0,66
3,-17,-13,1033,8.04,0,0,83
4,-19,-14,1032,9.83,0,0,62
5,-18,-13,1032,12.96,0,0,40
7,-19,-14,1033,19.22,0,0,25
9,-17,-12,1033,24.14,0,0,35
10,-16,-7,1033,4.02,0,0,50
11,-15,-7,1033,3.13,0,0,70
12,-15,-7,1032,6.26,0,0,75
13,-14,-6,1031,9.39,0,0,58
14,-14,-6,1031,12.52,0,0,70
15,-13,-5,1030,14.31,0,0,68
16,-14,-5,1031,16.1,0,0,71
17,-14,-6,1031,19.23,0,0,88
18,-13,-7,1032,23.25,0,0,84
19,-15,-6,1032,27.27,0,0,83
20,-15,-6,1033,30.4,0,0,66
0,-17,-6,1035,60.36,0,0,23
1,-17,-8,1035,0.89,0,0,27
2,-19,-11,1036,4.02,0,0,23
3,-20,-11,1036,8.94,0,0,17
4,-21,-11,1035,4.02,0,0,17
5,-22,-12,1035,3.13,0,0,16
7,-22,-13,1036,5.81,0,0,20
9,-22,-10,1036,21.91,0,0,18
10,-22,-9,1036,29.06,0,0,25
11,-21,-9,1036,33.08,0,0,26
15,-20,-5,1033,66.16,0,0,24
16,-20,-5,1032,71.97,0,0,13
18,-20,-7,1033,81.81,0,0,13
19,-22,-7,1033,85.83,0,0,17
20,-22,-8,1033,89.85,0,0,20
21,-23,-10,1033,91.64,0,0,27
22,-23,-13,1033,93.43,0,0,20
23,-22,-12,1032,0.89,0,0,15
0,-22,-15,1031,1.78,0,0,21
1,-22,-14,1031,1.79,0,0,21
2,-22,-14,1031,0.89,0,0,37
3,-24,-18,1030,1.79,0,0,26
4,-24,-13,1030,3.58,0,0,15
5,-25,-14,1030,3.13,0,0,9
8,-26,-14,1030,16.98,0,0,16
10,-25,-11,1031,26.81,0,0,15
11,-24,-11,1030,35.75,0,0,21
14,-23,-11,1029,75.98,0,0,22
15,-22,-11,1029,88.05,0,0,22
16,-23,-11,1030,101.01,0,0,19
17,-24,-11,1030,109.06,0,0,23
18,-24,-11,1032,118,0,0,25
19,-23,-11,1032,126.05,0,0,25
21,-24,-12,1033,142.15,0,0,25
22,-23,-12,1033,150.2,0,0,22
1,-24,-12,1033,178.8,0,0,16
3,-24,-13,1033,198.03,0,0,11
4,-25,-12,1032,205.18,0,0,12
6,-25,-12,1032,226.19,0,0,12
9,-23,-11,1033,252.12,0,0,34
10,-23,-10,1033,257.93,0,0,33
11,-22,-9,1033,263.74,0,0,36
12,-21,-8,1031,270.89,0,0,26
13,-21,-6,1030,278.94,0,0,49
14,-20,-5,1029,286.99,0,0,52
15,-22,-5,1028,294.14,0,0,47
17,-19,-7,1028,1.79,0,0,39
18,-19,-8,1028,0.45,0,0,59
19,-20,-9,1028,1.34,0,0,76
20,-19,-10,1027,1.79,0,0,96
21,-19,-13,1027,0.89,0,0,95
22,-18,-12,1027,1.78,0,0,68
23,-18,-13,1027,0.89,0,0,65
0,-18,-14,1026,1.78,0,0,75
2,-20,-15,1025,0.89,0,0,174
3,-20,-16,1025,1.78,0,0,164
4,-20,-16,1024,3.57,0,0,161
5,-21,-17,1024,6.7,0,0,137
6,-19,-14,1023,10.72,0,0,92
7,-21,-17,1023,13.85,0,0,64
9,-19,-14,1024,18.77,0,0,87
10,-18,-10,1024,22.79,0,0,84
12,-16,-6,1023,26.37,0,0,79
14,-16,-5,1022,29.95,0,0,79
15,-15,-4,1022,33.08,0,0,86
16,-16,-4,1023,0.89,0,0,72
17,-15,-5,1025,1.79,0,0,89
20,-15,-4,1029,20.56,0,0,49
22,-17,-6,1032,3.13,0,0,27
23,-18,-6,1033,8.05,0,0,20
0,-19,-7,1034,13.86,0,0,36
1,-17,-8,1035,5.81,0,0,37
3,-19,-10,1036,14.75,0,0,18
7,-19,-9,1037,18.77,0,0,26
9,-19,-8,1039,28.6,0,0,30
11,-18,-6,1039,41.56,0,0,26
12,-18,-5,1039,45.58,0,0,26
13,-17,-4,1038,1.79,0,0,31
16,-17,-2,1037,2.23,0,0,37
18,-15,-6,1036,0.89,0,0,83
19,-15,-6,1037,1.78,0,0,91
20,-14,-6,1037,1.79,0,0,90
21,-14,-8,1036,3.58,0,0,102
23,-15,-11,1036,1.78,0,0,87
0,-15,-11,1036,2.67,0,0,141
1,-16,-13,1036,0.89,0,0,211
3,-16,-13,1035,0.89,0,0,271
5,-14,-10,1034,1.79,0,0,200
7,-15,-11,1034,4.47,0,0,114
8,-15,-11,1034,6.26,0,0,102
9,-14,-9,1034,8.05,0,0,108
10,-14,-9,1034,9.84,0,0,135
11,-13,-6,1034,0.89,0,0,120
13,-12,-4,1031,0.89,0,0,127
14,-12,-3,1031,1.78,0,0,128
15,-12,-3,1030,2.67,0,0,140
16,-11,-3,1030,3.56,0,0,148
17,-11,-4,1031,0.89,0,0,150
18,-12,-7,1031,0.89,0,0,154
19,-12,-7,1032,1.78,0,0,197
20,-12,-8,1032,2.23,0,0,235
21,-12,-9,1032,3.12,0,0,261
22,-13,-11,1032,0.89,0,0,269
23,-14,-11,1032,2.68,0,0,266
0,-15,-12,1032,5.81,0,0,263
1,-14,-11,1032,0.45,0,0,241
3,-14,-12,1031,1.79,0,0,160
5,-14,-10,1030,6.71,0,0,148
6,-14,-11,1030,9.84,0,0,208
9,-13,-8,1030,17.89,0,0,161
10,-12,-6,1030,0.45,0,0,182
12,-11,-4,1029,2.23,0,0,170
13,-11,-3,1028,3.12,0,0,172
14,-10,-1,1027,4.01,0,0,154
16,-10,-1,1026,0.89,0,0,177
18,-10,-5,1027,2.67,0,0,212
19,-10,-6,1027,0.89,0,0,250
20,-11,-7,1027,0.45,0,0,268
22,-11,-9,1027,1.35,0,0,291
23,-12,-9,1027,0.89,0,0,313
2,-11,-9,1028,4.92,0,0,303
3,-13,-10,1028,6.71,0,0,349
7,-14,-11,1028,4.02,0,0,149
9,-11,-6,1028,9.83,0,0,184
11,-9,-3,1028,13.41,0,0,137
12,-8,-1,1027,15.2,0,0,146
13,-9,0,1026,16.99,0,0,144
14,-9,1,1025,1.79,0,0,154
15,-9,1,1025,0.89,0,0,173
16,-8,1,1025,0.89,0,0,188
18,-7,-2,1025,0.89,0,0,233
20,-5,-2,1026,0.89,0,0,435
22,-5,-1,1026,3.58,0,0,360
0,-4,-1,1025,1.79,0,0,358
2,-5,-1,1024,6.71,0,0,332
3,-5,-1,1023,8.5,0,0,274
5,-4,-1,1021,11.18,0,0,302
6,-4,-1,1021,12.07,0,0,330
8,-4,0,1021,0.89,0,0,297
9,-4,0,1021,1.79,0,0,331
10,-4,0,1021,0.89,0,0,323
11,-5,1,1021,1.79,0,0,339
12,-5,1,1020,0.89,0,0,301
13,-4,1,1019,1.34,0,0,310
16,-3,2,1018,1.34,0,0,336
17,-2,2,1018,0.89,0,0,357
19,-3,2,1020,1.79,0,0,426
20,-3,1,1020,4.92,0,0,403
22,-3,0,1021,8.5,0,0,333
23,-3,1,1020,11.63,0,0,343
0,-2,0,1021,14.76,0,0,364
2,-4,-2,1022,19.68,0,0,368
4,-3,1,1023,28.62,0,0,71
5,-3,0,1024,31.75,0,0,81
8,-10,0,1028,48.74,0,0,44
10,-11,1,1032,63.04,0,0,35
11,-13,0,1033,71.09,0,0,29
12,-13,0,1033,78.24,0,0,27
13,-13,-1,1033,8.05,0,0,29
14,-13,-1,1032,7.15,0,0,16
15,-15,-1,1032,5.81,0,0,23
18,-16,-3,1034,21.01,0,0,11
20,-19,-3,1036,37.99,0,0,16
22,-19,-4,1038,55.87,0,0,20
23,-19,-5,1038,65.7,0,0,18
0,-20,-6,1038,75.53,0,0,18
1,-20,-6,1038,85.36,0,0,17
2,-20,-7,1038,95.19,0,0,17
4,-23,-8,1038,111.29,0,0,15
7,-25,-9,1038,138.1,0,0,18
8,-25,-8,1039,147.04,0,0,18
9,-25,-8,1039,155.98,0,0,18
10,-22,-7,1039,160.9,0,0,26
11,-22,-7,1038,3.13,0,0,26
12,-22,-5,1037,4.02,0,0,25
13,-21,-5,1035,3.13,0,0,24
16,-21,-2,1033,4.92,0,0,15
18,-20,-2,1034,15.65,0,0,40
19,-19,-3,1034,21.46,0,0,51
20,-19,-3,1035,25.48,0,0,45
21,-17,-8,1035,0.89,0,0,61
23,-18,-9,1035,3.58,0,0,38
1,-20,-4,1037,17.43,0,0,29
2,-21,-5,1037,27.26,0,0,26
3,-21,-6,1037,35.31,0,0,18
4,-20,-7,1036,42.46,0,0,15
6,-20,-7,1035,54.08,0,0,22
7,-20,-7,1036,59,0,0,21
9,-20,-5,1036,67.94,0,0,22
10,-19,-4,1036,75.09,0,0,25
11,-19,-4,1036,84.03,0,0,22
12,-19,-3,1035,95.21,0,0,26
15,-18,-2,1032,124.7,0,0,32
16,-18,-2,1032,133.64,0,0,30
17,-18,-2,1032,139.45,0,0,32
18,-18,-3,1032,144.37,0,0,37
19,-17,-5,1033,149.29,0,0,49
20,-18,-4,1033,153.31,0,0,47
21,-17,-4,1032,159.12,0,0,39
22,-17,-4,1032,164.04,0,0,35
23,-17,-7,1032,168.06,0,0,48
1,-17,-8,1033,0.89,0,0,24
2,-17,-5,1032,4.92,0,0,23
3,-18,-6,1032,8.05,0,0,20
4,-18,-5,1031,12.97,0,0,19
5,-18,-6,1031,16.1,0,0,16
6,-18,-7,1031,20.12,0,0,22
7,-18,-7,1031,24.14,0,0,24
8,-18,-6,1031,25.93,0,0,24
9,-18,-2,1031,30.85,0,0,41
10,-17,-1,1031,38.9,0,0,23
12,-19,1,1029,55,0,0,15
13,-20,2,1027,63.05,0,0,19
14,-19,2,1025,71.1,0,0,17
15,-19,3,1024,79.15,0,0,17
16,-19,3,1024,86.3,0,0,22
12,-15,-1,1025,1.79,0,0,88
13,-18,0,1024,3.58,0,0,85
14,-19,1,1023,0.89,0,0,90
15,-18,2,1021,1.79,0,0,127
16,-17,1,1021,4.92,0,0,144
19,-13,-3,1021,0.89,0,0,231
20,-11,-5,1020,0.89,0,0,274
0,-11,-4,1019,3.58,0,0,299
1,-12,-3,1018,5.37,0,0,300
2,-11,-4,1017,7.16,0,0,240
4,-12,-3,1016,12.08,0,0,171
6,-11,-5,1015,17,0,0,153
7,-11,-4,1015,18.79,0,0,140
9,-10,-1,1015,6.26,0,0,158
11,-9,3,1015,1.79,0,0,154
12,-9,4,1014,4.92,0,0,143
14,-13,8,1012,16.1,0,0,55
15,-14,8,1013,24.15,0,0,52
16,-14,7,1014,32.2,0,0,41
17,-13,7,1015,39.35,0,0,29
20,-13,3,1019,56.34,0,0,56
21,-14,3,1020,62.15,0,0,38
22,-14,3,1021,67.96,0,0,37
23,-14,0,1022,71.98,0,0,28
1,-15,-1,1023,7.15,0,0,22
2,-15,-1,1024,12.07,0,0,27
3,-15,-2,1025,16.09,0,0,34
4,-15,-2,1025,21.01,0,0,27
5,-15,-3,1025,25.03,0,0,32
6,-15,-3,1025,3.13,0,0,28
7,-15,-3,1026,8.05,0,0,28
9,-17,-2,1028,20.12,0,0,17
12,-21,1,1027,44.7,0,0,16
13,-24,1,1026,53.64,0,0,12
14,-25,1,1026,62.58,0,0,13
17,-25,0,1026,91.18,0,0,13
19,-20,-1,1027,103.25,0,0,23
20,-21,-1,1027,105.04,0,0,16
22,-21,-2,1027,4.02,0,0,20
23,-22,-2,1027,7.15,0,0,25
1,-21,-4,1027,15.2,0,0,24
4,-20,-7,1025,0.89,0,0,24
5,-20,-8,1024,1.79,0,0,17
6,-18,-10,1024,0.89,0,0,10
8,-21,-1,1025,9.83,0,0,16
9,-24,1,1025,17.88,0,0,20
10,-25,2,1025,26.82,0,0,13
11,-24,3,1024,33.97,0,0,12
13,-24,5,1022,50.07,0,0,12
14,-25,6,1020,57.22,0,0,12
15,-25,6,1020,65.27,0,0,31
16,-23,6,1020,72.42,0,0,36
17,-22,5,1020,78.23,0,0,42
18,-21,5,1020,84.04,0,0,52
19,-20,5,1020,89.85,0,0,26
22,-19,3,1021,101.02,0,0,43
23,-19,3,1020,105.94,0,0,47
0,-18,0,1020,109.96,0,0,61
1,-18,0,1020,114.88,0,0,66
2,-15,-1,1020,1.79,0,0,65
3,-15,-2,1020,0.89,0,0,70
4,-16,-1,1020,4.02,0,0,36
5,-16,-4,1019,8.94,0,0,37
6,-15,-5,1020,0.89,0,0,22
7,-16,-5,1020,3.13,0,0,24
8,-15,-6,1021,0.89,0,0,29
9,-15,0,1021,4.02,0,0,35
10,-18,3,1021,8.04,0,0,35
12,-22,6,1020,18.77,0,0,32
15,-23,7,1018,45.58,0,0,26
17,-22,6,1018,58.54,0,0,36
18,-21,5,1018,64.35,0,0,37
19,-21,5,1019,70.16,0,0,45
20,-19,4,1019,74.18,0,0,71
21,-19,5,1020,78.2,0,0,67
22,-19,2,1020,81.33,0,0,69
23,-18,2,1021,84.46,0,0,94
5,-17,1,1023,105.47,0,0,16
7,-18,0,1025,113.51,0,0,19
10,-19,3,1026,129.6,0,0,18
11,-19,4,1026,138.54,0,0,11
12,-20,5,1025,145.69,0,0,11
13,-17,5,1024,4.02,0,0,16
15,-18,6,1024,0.89,0,0,17
19,-15,-1,1025,2.68,0,0,54
20,-13,-1,1025,0.89,0,0,71
21,-8,-1,1026,5.81,0,0,129
22,-7,-2,1027,10.73,0,0,145
2,-9,-4,1027,1.78,0,0,67
4,-9,-4,1026,0.89,0,0,76
6,-10,-4,1027,0.89,0,0,73
7,-10,-4,1027,0.89,0,0,73
12,-10,0,1027,6.71,0,0,72
13,-12,0,1026,10.73,0,0,56
14,-14,1,1026,14.75,0,0,54
15,-14,0,1025,16.54,0,0,40
16,-12,0,1026,19.67,0,0,49
17,-10,-1,1025,21.46,0,0,63
20,-10,-4,1027,30.4,0,0,63
21,-10,-5,1027,34.42,0,0,65
22,-10,-5,1027,39.34,0,0,64
23,-11,-7,1027,41.13,0,0,64
0,-10,-7,1028,42.92,0,0,62
1,-11,-8,1028,0.89,0,0,56
2,-11,-9,1028,1.34,0,0,87
4,-12,-10,1028,0.89,0,0,104
5,-13,-11,1028,0.89,0,0,97
6,-11,-9,1028,0.89,0,0,96
7,-11,-8,1028,0.89,0,0,86
8,-10,-7,1029,1.79,0,0,85
9,-14,-6,1029,4.92,0,0,92
10,-18,-5,1029,10.73,0,0,55
11,-20,-3,1029,14.75,0,0,36
12,-20,-2,1028,16.54,0,0,27
14,-20,0,1027,1.79,0,0,28
15,-22,0,1027,2.68,0,0,32
16,-22,1,1027,3.57,0,0,35
17,-19,-2,1027,1.79,0,0,43
22,-21,-5,1030,1.79,0,0,80
1,-21,-8,1030,0.89,0,0,71
3,-17,-10,1030,0.89,0,0,73
4,-17,-12,1030,0.89,0,0,107
5,-17,-13,1030,1.79,0,0,94
7,-19,-11,1030,0.89,0,0,132
8,-18,-11,1030,1.34,0,0,161
10,-19,-4,1030,3.13,0,0,72
11,-20,-2,1030,4.92,0,0,58
13,-23,1,1027,19.22,0,0,14
14,-24,1,1026,28.16,0,0,17
17,-21,1,1026,54.08,0,0,34
18,-22,1,1026,59,0,0,96
19,-17,0,1027,63.02,0,0,87
20,-20,-4,1027,0.89,0,0,87
21,-20,-5,1028,1.79,0,0,95
22,-21,-6,1028,4.92,0,0,105
23,-21,-7,1028,0.45,0,0,114
0,-21,-7,1028,1.79,0,0,103
2,-21,-9,1028,0.89,0,0,102
4,-19,-10,1028,1.79,0,0,78
5,-19,-12,1028,0.89,0,0,33
6,-18,-12,1028,0.89,0,0,29
7,-20,-15,1028,4.02,0,0,27
8,-17,-10,1028,8.04,0,0,27
10,-20,-3,1028,15.19,0,0,33
12,-22,0,1027,3.13,0,0,31
13,-22,1,1025,7.15,0,0,28
15,-23,1,1024,4.92,0,0,61
16,-23,1,1024,6.71,0,0,64
17,-22,0,1024,8.5,0,0,80
18,-20,-4,1025,11.63,0,0,91
19,-22,-3,1026,14.76,0,0,79
20,-22,-3,1026,15.65,0,0,48
23,-19,-4,1027,1.79,0,0,63
0,-19,-4,1027,4.92,0,0,48
4,-15,-5,1028,1.79,0,0,87
5,-13,-6,1028,0.89,0,0,105
6,-13,-7,1029,0.89,0,0,90
7,-12,-7,1030,1.78,0,0,101
8,-19,-6,1030,3.13,0,0,126
9,-18,-5,1031,4.92,0,0,114
10,-14,-4,1031,1.79,0,0,103
11,-13,-3,1031,1.79,0,0,114
14,-14,-1,1029,1.79,0,0,68
15,-13,-1,1029,1.79,0,0,72
17,-12,-2,1030,5.37,0,0,80
20,-13,-5,1031,8.94,0,0,67
21,-12,-5,1032,9.83,0,0,62
0,-11,-7,1033,15.2,0,0,51
1,-11,-8,1033,16.99,0,0,51
2,-11,-8,1033,18.78,0,0,54
4,-11,-7,1032,23.7,0,0,47
5,-11,-7,1032,25.49,0,0,85
6,-12,-7,1032,27.28,0,0,78
7,-12,-7,1032,29.07,0,0,68
8,-13,-7,1033,0.89,0,0,64
10,-11,-5,1032,4.92,0,0,80
11,-11,-4,1032,8.05,0,0,74
12,-11,-3,1031,11.18,0,0,93
13,-11,-3,1030,15.2,0,0,77
14,-12,-2,1029,19.22,0,0,67
15,-12,-2,1029,22.35,0,0,84
16,-12,-2,1028,25.48,0,0,77
18,-10,-3,1028,33.52,0,0,82
19,-9,-3,1029,35.31,1,0,100
20,-7,-4,1029,37.1,2,0,189
22,-6,-5,1028,42.02,4,0,71
23,-6,-5,1027,45.15,5,0,43
0,-6,-5,1027,46.94,6,0,64
2,-7,-5,1025,0.89,8,0,69
3,-7,-5,1025,1.78,9,0,65
4,-7,-6,1024,0.89,10,0,71
6,-7,-6,1024,0.89,0,0,81
7,-7,-6,1023,1.78,0,0,88
10,-6,-4,1023,3.58,0,0,88
11,-6,-4,1023,0.89,0,0,80
13,-7,-3,1022,2.67,0,0,105
14,-7,-3,1021,3.56,0,0,118
15,-6,-2,1020,1.79,0,0,125
16,-6,-2,1020,3.58,0,0,141
17,-6,-3,1020,5.37,0,0,152
19,-7,-5,1021,0.89,0,0,147
21,-6,-4,1022,2.67,0,0,157
22,-5,-3,1022,0.89,0,0,156
0,-6,-4,1021,0.89,0,0,178
1,-6,-5,1020,1.34,0,0,187
3,-8,-6,1020,0.89,0,0,185
4,-6,-5,1019,0.89,0,0,197
5,-6,-4,1019,1.79,0,0,180
6,-6,-4,1019,1.79,0,0,172
8,-6,-4,1019,8.05,0,0,136
10,-5,-2,1020,15.2,0,0,140
11,-5,-1,1019,0.89,0,0,159
12,-5,0,1019,2.68,0,0,169
13,-5,2,1017,1.79,0,0,170
14,-5,4,1017,0.89,0,0,184
15,-5,5,1017,1.79,0,0,163
16,-4,4,1017,4.92,0,0,140
17,-4,3,1017,6.71,0,0,144
18,-5,1,1019,0.89,0,0,166
19,-4,0,1020,0.89,0,0,196
20,-4,-1,1020,0.89,0,0,227
21,-5,-2,1020,1.78,0,0,210
22,-4,-2,1021,2.23,0,0,233
23,-4,-3,1021,3.12,0,0,258
0,-5,-3,1021,1.79,0,0,247
1,-5,-3,1022,0.89,0,0,230
2,-6,-4,1022,0.89,0,0,273
3,-5,-3,1022,0.89,0,0,253
6,-5,-4,1023,0.89,0,0,229
7,-5,-4,1023,1.34,0,0,199
8,-4,-3,1024,2.23,0,0,193
9,-9,1,1025,4.02,0,0,207
11,-17,3,1025,3.13,0,0,91
12,-18,4,1025,4.92,0,0,58
14,-14,5,1023,1.78,0,0,50
17,-11,3,1024,1.79,0,0,54
19,-7,2,1025,6.71,0,0,181
20,-6,0,1025,0.89,0,0,181
21,-8,-1,1026,3.13,0,0,182
22,-15,1,1026,8.05,0,0,156
23,-18,1,1027,12.07,0,0,27
0,-20,0,1028,16.09,0,0,16
2,-21,-1,1028,25.03,0,0,21
4,-22,-2,1029,34.87,0,0,8
5,-22,-2,1030,39.79,0,0,8
7,-22,-3,1031,51.41,0,0,10
8,-23,-4,1032,58.56,0,0,9
9,-23,-4,1033,65.71,0,0,20
11,-24,-2,1032,77.33,0,0,16
12,-24,-1,1032,83.14,0,0,14
14,-26,0,1030,5.81,0,0,7
15,-22,0,1030,11.62,0,0,8
16,-22,0,1030,17.43,0,0,12
17,-23,-1,1030,24.58,0,0,15
19,-22,-1,1032,38.88,0,0,11
20,-22,-2,1032,44.69,0,0,18
21,-21,-2,1033,50.5,0,0,16
22,-22,-2,1034,56.31,0,0,11
23,-21,-3,1035,61.23,0,0,10
2,-22,-3,1035,77.77,0,0,10
4,-23,-4,1034,89.84,0,0,12
6,-23,-5,1035,5.81,0,0,10
7,-22,-6,1036,9.83,0,0,9
8,-22,-5,1037,14.75,0,0,9
9,-22,-4,1037,19.67,0,0,11
11,-22,-3,1037,5.81,0,0,12
12,-22,-3,1036,11.62,0,0,12
13,-24,-2,1036,4.92,0,0,21
14,-23,-2,1035,4.02,0,0,18
15,-23,-2,1035,7.15,0,0,13
16,-23,-2,1035,4.02,0,0,18
18,-22,-3,1035,8.05,0,0,19
20,-21,-5,1036,3.13,0,0,20
21,-21,-5,1036,8.05,0,0,24
23,-21,-5,1038,4.02,0,0,13
1,-22,-6,1038,14.75,0,0,22
4,-23,-8,1037,3.13,0,0,11
6,-22,-9,1038,11.17,0,0,9
7,-23,-9,1038,14.3,0,0,11
9,-22,-6,1038,4.02,0,0,21
10,-22,-5,1037,7.15,0,0,26
11,-22,-4,1036,3.13,0,0,21
12,-23,-3,1035,3.13,0,0,19
13,-23,-2,1034,3.13,0,0,13
14,-23,-1,1033,6.26,0,0,13
15,-23,-1,1032,1.79,0,0,13
16,-23,-1,1032,1.79,0,0,13
17,-23,-1,1031,3.58,0,0,11
18,-22,-3,1031,5.37,0,0,19
19,-21,-4,1032,0.89,0,0,22
20,-19,-5,1032,0.89,0,0,50
